YEAR,MO,DY,HR,WS50M,Location,Latitude ,Longitude 
2013,1,19,17,6.03,Marsabit ,2.3286,37.9837
2013,1,19,18,6.9,Marsabit ,2.3286,37.9837
2013,1,19,19,8.07,Marsabit ,2.3286,37.9837
2013,1,19,20,8.79,Marsabit ,2.3286,37.9837
2013,1,19,21,9.14,Marsabit ,2.3286,37.9837
2013,1,19,22,9.05,Marsabit ,2.3286,37.9837
2013,1,19,23,8.84,Marsabit ,2.3286,37.9837
2013,1,20,0,8.35,Marsabit ,2.3286,37.9837
2013,1,20,1,7.44,Marsabit ,2.3286,37.9837
2013,1,20,2,6.91,Marsabit ,2.3286,37.9837
2013,1,20,3,6.5,Marsabit ,2.3286,37.9837
